=== Trace for PID 2215 ===
Process: ethlink

--- Self PID 2215 Trace ---
  [074] inode: 32770, pc: 0x0002aff8, module: busybox
  [075] inode: 32770, pc: 0x0002b058, module: busybox
  [076] inode: 32770, pc: 0x0002b04c, module: busybox
  [077] inode: 32770, pc: 0x0002b01c, module: busybox
  [078] inode: 32770, pc: 0x0002b014, module: busybox
  [079] inode: 32770, pc: 0x0002b004, module: busybox
  [080] inode: 32770, pc: 0x0002aff8, module: busybox
  [081] inode: 32770, pc: 0x0002b058, module: busybox
  [082] inode: 32770, pc: 0x0002b04c, module: busybox
  [083] inode: 32770, pc: 0x0002b01c, module: busybox
  [084] inode: 32770, pc: 0x0002b014, module: busybox
  [085] inode: 32770, pc: 0x0002b004, module: busybox
  [086] inode: 32770, pc: 0x0002aff8, module: busybox
  [087] inode: 32770, pc: 0x0002b058, module: busybox
  [088] inode: 32770, pc: 0x0002b04c, module: busybox
  [089] inode: 32770, pc: 0x0002b01c, module: busybox
  [090] inode: 32770, pc: 0x0002b014, module: busybox
  [091] inode: 32770, pc: 0x0002b004, module: busybox
  [092] inode: 32770, pc: 0x0002aff8, module: busybox
  [093] inode: 32770, pc: 0x0002b058, module: busybox
  [094] inode: 32770, pc: 0x0002b04c, module: busybox
  [095] inode: 32770, pc: 0x0002b01c, module: busybox
  [096] inode: 32770, pc: 0x0002b014, module: busybox
  [097] inode: 32770, pc: 0x0002b004, module: busybox
  [098] inode: 32770, pc: 0x0002aff8, module: busybox
  [099] inode: 32770, pc: 0x0002b058, module: busybox
  [100] inode: 32770, pc: 0x0002b04c, module: busybox
  [101] inode: 32770, pc: 0x0002b01c, module: busybox
  [102] inode: 32770, pc: 0x0002b014, module: busybox
  [103] inode: 32770, pc: 0x0002b004, module: busybox
  [104] inode: 32770, pc: 0x0002aff8, module: busybox
  [105] inode: 32770, pc: 0x0002b058, module: busybox
  [106] inode: 32770, pc: 0x0002b04c, module: busybox
  [107] inode: 32770, pc: 0x0002b01c, module: busybox
  [108] inode: 32770, pc: 0x0002b014, module: busybox
  [109] inode: 32770, pc: 0x0002b004, module: busybox
  [110] inode: 32770, pc: 0x0002aff8, module: busybox
  [111] inode: 32770, pc: 0x0002b058, module: busybox
  [112] inode: 32770, pc: 0x0002b04c, module: busybox
  [113] inode: 32770, pc: 0x0002b01c, module: busybox
  [114] inode: 32770, pc: 0x0002b014, module: busybox
  [115] inode: 32770, pc: 0x0002b004, module: busybox
  [116] inode: 32770, pc: 0x0002aff8, module: busybox
  [117] inode: 32770, pc: 0x0002b058, module: busybox
  [118] inode: 32770, pc: 0x0002b04c, module: busybox
  [119] inode: 32770, pc: 0x0002b01c, module: busybox
  [120] inode: 32770, pc: 0x0002b014, module: busybox
  [121] inode: 32770, pc: 0x0002b004, module: busybox
  [122] inode: 32770, pc: 0x0002aff8, module: busybox
  [123] inode: 32770, pc: 0x0002b058, module: busybox
  [124] inode: 32770, pc: 0x0002b04c, module: busybox
  [125] inode: 32770, pc: 0x0002b01c, module: busybox
  [126] inode: 32770, pc: 0x0002b014, module: busybox
  [127] inode: 32770, pc: 0x0002b004, module: busybox
  [128] inode: 32770, pc: 0x0002afe4, module: busybox
  [129] inode: 32770, pc: 0x0002afdc, module: busybox
  [130] inode: 32770, pc: 0x0002b090, module: busybox
  [131] inode: 32770, pc: 0x0002b078, module: busybox
  [132] inode: 32770, pc: 0x0002b070, module: busybox
  [133] inode: 32770, pc: 0x0002b0d4, module: busybox
  [134] inode: 32770, pc: 0x00044ecc, module: busybox
  [135] inode: 32770, pc: 0x00048430, module: busybox
  [136] inode: 32770, pc: 0x000481f8, module: busybox
  [137] inode: 32770, pc: 0x00048104, module: busybox
  [138] inode: 32770, pc: 0x000480e8, module: busybox
  [139] inode: 32770, pc: 0x000480d8, module: busybox
  [140] inode: 32770, pc: 0x000480fc, module: busybox
  [141] inode: 32770, pc: 0x000480ec, module: busybox
  [142] inode: 32770, pc: 0x000480cc, module: busybox
  [143] inode: 32770, pc: 0x0004811c, module: busybox
  [144] inode: 32770, pc: 0x000480d8, module: busybox
  [145] inode: 32770, pc: 0x000480fc, module: busybox
  [146] inode: 32770, pc: 0x000480ec, module: busybox
  [147] inode: 32770, pc: 0x000480cc, module: busybox
  [148] inode: 32770, pc: 0x00048124, module: busybox
  [149] inode: 32770, pc: 0x000480bc, module: busybox
  [150] inode: 32770, pc: 0x00048000, module: busybox
  [151] inode: 32770, pc: 0x00047ffc, module: busybox
  [152] inode: 32770, pc: 0x00048404, module: busybox
  [153] inode: 32770, pc: 0x0004b698, module: busybox
  [154] inode: 32770, pc: 0x00047420, module: busybox
  [155] inode: 32770, pc: 0x000473fc, module: busybox
  [156] inode: 32770, pc: 0x000473d8, module: busybox
  [157] inode: 32770, pc: 0x000473e4, module: busybox
  [158] inode: 32770, pc: 0x000473cc, module: busybox
  [159] inode: 32770, pc: 0x000473b8, module: busybox
  [160] inode: 32770, pc: 0x00047394, module: busybox
  [161] inode: 32770, pc: 0x0004b690, module: busybox
  [162] inode: 32770, pc: 0x0004b66c, module: busybox
  [163] inode: 32770, pc: 0x00046688, module: busybox
  [164] inode: 32770, pc: 0x00046644, module: busybox
  [165] inode: 32770, pc: 0x00046634, module: busybox
  [166] inode: 32770, pc: 0x0004662c, module: busybox
  [167] inode: 32770, pc: 0x0004661c, module: busybox
  [168] inode: 32770, pc: 0x00046340, module: busybox
  [169] inode: 32770, pc: 0x00046300, module: busybox
  [170] inode: 32770, pc: 0x000462c4, module: busybox
  [171] inode: 32770, pc: 0x0004629c, module: busybox
  [172] inode: 32770, pc: 0x00046260, module: busybox
  [173] inode: 32770, pc: 0x00046110, module: busybox
  [174] inode: 32770, pc: 0x000460fc, module: busybox
  [175] inode: 32770, pc: 0x000460ec, module: busybox
  [176] inode: 32770, pc: 0x000460dc, module: busybox
  [177] inode: 32770, pc: 0x000460b8, module: busybox
  [178] inode: 32770, pc: 0x000460a8, module: busybox
  [179] inode: 32770, pc: 0x0004609c, module: busybox
  [180] inode: 32770, pc: 0x000126b4, module: busybox
  [181] inode: 32770, pc: 0x000126a4, module: busybox
  [182] inode: 32770, pc: 0x000126bc, module: busybox
  [183] inode: 32770, pc: 0x000126a4, module: busybox
  [184] inode: 32770, pc: 0x000126bc, module: busybox
  [185] inode: 32770, pc: 0x000126a4, module: busybox
  [186] inode: 32770, pc: 0x000126bc, module: busybox
  [187] inode: 32770, pc: 0x000126a4, module: busybox
  [188] inode: 32770, pc: 0x000126bc, module: busybox
  [189] inode: 32770, pc: 0x000126a0, module: busybox
  [190] inode: 32770, pc: 0x0004608c, module: busybox
  [191] inode: 32770, pc: 0x000460c0, module: busybox
  [192] inode: 32770, pc: 0x0004609c, module: busybox
  [193] inode: 32770, pc: 0x000126c4, module: busybox
  [194] inode: 32770, pc: 0x000126bc, module: busybox
  [195] inode: 32770, pc: 0x000126a4, module: busybox
  [196] inode: 32770, pc: 0x000126bc, module: busybox
  [197] inode: 32770, pc: 0x000126a4, module: busybox
  [198] inode: 32770, pc: 0x000126bc, module: busybox
  [199] inode: 32770, pc: 0x000126a0, module: busybox
  [200] inode: 32770, pc: 0x0004608c, module: busybox
  [201] inode: 32770, pc: 0x000460c0, module: busybox
  [202] inode: 32770, pc: 0x0004609c, module: busybox
  [203] inode: 32770, pc: 0x000126c4, module: busybox
  [204] inode: 32770, pc: 0x000126bc, module: busybox
  [205] inode: 32770, pc: 0x000126a4, module: busybox
  [206] inode: 32770, pc: 0x000126bc, module: busybox
  [207] inode: 32770, pc: 0x000126a0, module: busybox
  [208] inode: 32770, pc: 0x0004608c, module: busybox
  [209] inode: 32770, pc: 0x000460c0, module: busybox
  [210] inode: 32770, pc: 0x0004609c, module: busybox
  [211] inode: 32770, pc: 0x000126c4, module: busybox
  [212] inode: 32770, pc: 0x000126bc, module: busybox
  [213] inode: 32770, pc: 0x000126a0, module: busybox
  [214] inode: 32770, pc: 0x0004608c, module: busybox
  [215] inode: 32770, pc: 0x000460c0, module: busybox
  [216] inode: 32770, pc: 0x0004609c, module: busybox
  [217] inode: 32770, pc: 0x000126c4, module: busybox
  [218] inode: 32770, pc: 0x000126bc, module: busybox
  [219] inode: 32770, pc: 0x000126a0, module: busybox
  [220] inode: 32770, pc: 0x0004608c, module: busybox
  [221] inode: 32770, pc: 0x000460c0, module: busybox
  [222] inode: 32770, pc: 0x0004609c, module: busybox
  [223] inode: 32770, pc: 0x000126c4, module: busybox
  [224] inode: 32770, pc: 0x000126bc, module: busybox
  [225] inode: 32770, pc: 0x000126a0, module: busybox
  [226] inode: 32770, pc: 0x0004608c, module: busybox
  [227] inode: 32770, pc: 0x000460c0, module: busybox
  [228] inode: 32770, pc: 0x0004609c, module: busybox
  [229] inode: 32770, pc: 0x000126c4, module: busybox
  [230] inode: 32770, pc: 0x000126bc, module: busybox
  [231] inode: 32770, pc: 0x000126a0, module: busybox
  [232] inode: 32770, pc: 0x0004608c, module: busybox
  [233] inode: 32770, pc: 0x000460c0, module: busybox
  [234] inode: 32770, pc: 0x0004609c, module: busybox
  [235] inode: 32770, pc: 0x000126c4, module: busybox
  [236] inode: 32770, pc: 0x000126bc, module: busybox
  [237] inode: 32770, pc: 0x000126a0, module: busybox
  [238] inode: 32770, pc: 0x0004608c, module: busybox
  [239] inode: 32770, pc: 0x000460c4, module: busybox
  [240] inode: 32770, pc: 0x0004603c, module: busybox
  [241] inode: 32770, pc: 0x00046034, module: busybox
  [242] inode: 32770, pc: 0x00045fb4, module: busybox
  [243] inode: 32770, pc: 0x00045f90, module: busybox
  [244] inode: 32770, pc: 0x00045f3c, module: busybox
  [245] inode: 32770, pc: 0x000469ac, module: busybox
  [246] inode: 32770, pc: 0x000468d8, module: busybox
  [247] inode: 32770, pc: 0x000468ac, module: busybox
  [248] inode: 32770, pc: 0x00049c18, module: busybox
  [249] inode: 32770, pc: 0x00049c00, module: busybox
  [250] inode: 32770, pc: 0x00044b60, module: busybox
  [251] inode: 32770, pc: 0x00044b48, module: busybox
  [252] inode: 32770, pc: 0x00044b30, module: busybox
  [253] inode: 32770, pc: 0x00043fac, module: busybox
  [254] inode: 32770, pc: 0x00043f98, module: busybox
  [255] inode: 32770, pc: 0x00043f90, module: busybox
  [256] inode: 32770, pc: 0x00044b28, module: busybox
  [257] inode: 32770, pc: 0x00011c9c, module: busybox
  [258] inode: 32770, pc: 0x00011c80, module: busybox
  [259] inode: 32770, pc: 0x00011c6c, module: busybox
  [260] inode: 32770, pc: 0x00011c6c, module: busybox
  [261] inode: 32770, pc: 0x00011c6c, module: busybox
  [262] inode: 32770, pc: 0x00011c6c, module: busybox
  [263] inode: 32770, pc: 0x00011c6c, module: busybox
  [264] inode: 32770, pc: 0x00011c64, module: busybox
  [265] inode: 32770, pc: 0x00011c58, module: busybox
  [266] inode: 32770, pc: 0x00011bf8, module: busybox
  [267] inode: 32770, pc: 0x00011bdc, module: busybox
  [268] inode: 32770, pc: 0x00011bcc, module: busybox
  [269] inode: 32770, pc: 0x00011bc0, module: busybox
  [270] inode: 32770, pc: 0x00044b14, module: busybox
  [271] inode: 32770, pc: 0x00044ad8, module: busybox
  [272] inode: 32770, pc: 0x00049bf8, module: busybox
  [273] inode: 32770, pc: 0x0004795c, module: busybox
  [274] inode: 32770, pc: 0x00043fac, module: busybox
  [275] inode: 32770, pc: 0x00043f98, module: busybox
  [276] inode: 32770, pc: 0x00043f90, module: busybox
  [277] inode: 32770, pc: 0x00047954, module: busybox
  [278] inode: 32770, pc: 0x00011c9c, module: busybox
  [279] inode: 32770, pc: 0x00011c80, module: busybox
  [280] inode: 32770, pc: 0x00011c6c, module: busybox
  [281] inode: 32770, pc: 0x00011c6c, module: busybox
  [282] inode: 32770, pc: 0x00011c6c, module: busybox
  [283] inode: 32770, pc: 0x00011c64, module: busybox
  [284] inode: 32770, pc: 0x00011c58, module: busybox
  [285] inode: 32770, pc: 0x00011bf8, module: busybox
  [286] inode: 32770, pc: 0x00011bdc, module: busybox
  [287] inode: 32770, pc: 0x00011bcc, module: busybox
  [288] inode: 32770, pc: 0x00011bc0, module: busybox
  [289] inode: 32770, pc: 0x00047938, module: busybox
  [290] inode: 32770, pc: 0x000476cc, module: busybox
  [291] inode: 32770, pc: 0x000476b0, module: busybox
  [292] inode: 32770, pc: 0x000448f0, module: busybox
  [293] inode: 32770, pc: 0x000448d0, module: busybox
  [294] inode: 32770, pc: 0x000448c0, module: busybox
  [295] inode: 32770, pc: 0x000447f4, module: busybox
  [296] inode: 32770, pc: 0x000447cc, module: busybox
  [297] inode: 32770, pc: 0x00044784, module: busybox
  [298] inode: 32770, pc: 0x00044758, module: busybox
  [299] inode: 32770, pc: 0x00047698, module: busybox
Total Parent trace elements: 300

--- Parent PID 48 Trace ---
  [000] inode: 32770, pc: 0x00003b70, module: busybox
  [001] inode: 32770, pc: 0x0004b79c, module: busybox
  [002] inode: 32770, pc: 0x000461d8, module: busybox
  [003] inode: 32770, pc: 0x000461c8, module: busybox
  [004] inode: 32770, pc: 0x00044ac8, module: busybox
  [005] inode: 32770, pc: 0x00044a88, module: busybox
  [006] inode: 32770, pc: 0x000461a0, module: busybox
  [007] inode: 32770, pc: 0x00046180, module: busybox
  [008] inode: 32770, pc: 0x0004616c, module: busybox
  [009] inode: 32770, pc: 0x00002524, module: busybox
  [010] inode: 32770, pc: 0x00002504, module: busybox
  [011] inode: 32770, pc: 0x00003b50, module: busybox
  [012] inode: 32770, pc: 0x0004611c, module: busybox
  [013] inode: 32770, pc: 0x00046108, module: busybox
  [014] inode: 32770, pc: 0x00046814, module: busybox
  [015] inode: 32770, pc: 0x000460d4, module: busybox
  [016] inode: 32770, pc: 0x000460c0, module: busybox
  [017] inode: 32770, pc: 0x0004609c, module: busybox
  [018] inode: 32770, pc: 0x000126c4, module: busybox
