=== Trace for PID 2811 ===
Process: setup.cgi

--- Self PID 2811 Trace ---
  [099] inode: 41344, pc: 0x00020684, module: setup.cgi
  [100] inode: 49218, pc: 0x0002fa00, module: libuClibc-0.9.30.so
  [101] inode: 41344, pc: 0x0002068c, module: setup.cgi
  [102] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [103] inode: 41344, pc: 0x0002069c, module: setup.cgi
  [104] inode: 49218, pc: 0x0002f950, module: libuClibc-0.9.30.so
  [105] inode: 41344, pc: 0x000206b4, module: setup.cgi
  [106] inode: 41344, pc: 0x00020448, module: setup.cgi
  [107] inode: 41344, pc: 0x00020490, module: setup.cgi
  [108] inode: 49218, pc: 0x0002f730, module: libuClibc-0.9.30.so
  [109] inode: 41344, pc: 0x000204a0, module: setup.cgi
  [110] inode: 41344, pc: 0x000204ac, module: setup.cgi
  [111] inode: 49218, pc: 0x0002fa00, module: libuClibc-0.9.30.so
  [112] inode: 41344, pc: 0x000204bc, module: setup.cgi
  [113] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [114] inode: 41344, pc: 0x000204d4, module: setup.cgi
  [115] inode: 41344, pc: 0x000204e0, module: setup.cgi
  [116] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [117] inode: 41344, pc: 0x00020544, module: setup.cgi
  [118] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [119] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [120] inode: 41344, pc: 0x00020544, module: setup.cgi
  [121] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [122] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [123] inode: 41344, pc: 0x00020544, module: setup.cgi
  [124] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [125] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [126] inode: 41344, pc: 0x00020544, module: setup.cgi
  [127] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [128] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [129] inode: 41344, pc: 0x00020544, module: setup.cgi
  [130] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [131] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [132] inode: 41344, pc: 0x00020544, module: setup.cgi
  [133] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [134] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [135] inode: 41344, pc: 0x00020544, module: setup.cgi
  [136] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [137] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [138] inode: 41344, pc: 0x00020544, module: setup.cgi
  [139] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [140] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [141] inode: 41344, pc: 0x00020544, module: setup.cgi
  [142] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [143] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [144] inode: 41344, pc: 0x00020544, module: setup.cgi
  [145] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [146] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [147] inode: 41344, pc: 0x00020544, module: setup.cgi
  [148] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [149] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [150] inode: 41344, pc: 0x00020544, module: setup.cgi
  [151] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [152] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [153] inode: 41344, pc: 0x00020544, module: setup.cgi
  [154] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [155] inode: 41344, pc: 0x00020558, module: setup.cgi
  [156] inode: 41344, pc: 0x00020580, module: setup.cgi
  [157] inode: 41344, pc: 0x000206c0, module: setup.cgi
  [158] inode: 49218, pc: 0x0004c304, module: libuClibc-0.9.30.so
  [159] inode: 41344, pc: 0x000206d4, module: setup.cgi
  [160] inode: 41344, pc: 0x00020854, module: setup.cgi
  [161] inode: 41344, pc: 0x0002115c, module: setup.cgi
  [162] inode: 41344, pc: 0x000211b0, module: setup.cgi
  [163] inode: 41344, pc: 0x000211bc, module: setup.cgi
  [164] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [165] inode: 41344, pc: 0x000211cc, module: setup.cgi
  [166] inode: 41344, pc: 0x000211dc, module: setup.cgi
  [167] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [168] inode: 41344, pc: 0x000211e8, module: setup.cgi
  [169] inode: 41344, pc: 0x000211f8, module: setup.cgi
  [170] inode: 49218, pc: 0x0002eb70, module: libuClibc-0.9.30.so
  [171] inode: 41344, pc: 0x0002120c, module: setup.cgi
  [172] inode: 41344, pc: 0x00021234, module: setup.cgi
  [173] inode: 41344, pc: 0x00021288, module: setup.cgi
  [174] inode: 41344, pc: 0x00020c34, module: setup.cgi
  [175] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [176] inode: 41344, pc: 0x00020c70, module: setup.cgi
  [177] inode: 41344, pc: 0x00020c7c, module: setup.cgi
  [178] inode: 41344, pc: 0x00020cac, module: setup.cgi
  [179] inode: 41344, pc: 0x00021294, module: setup.cgi
  [180] inode: 41344, pc: 0x000212b0, module: setup.cgi
  [181] inode: 41344, pc: 0x00021324, module: setup.cgi
  [182] inode: 41344, pc: 0x00020870, module: setup.cgi
  [183] inode: 41344, pc: 0x00020898, module: setup.cgi
  [184] inode: 49218, pc: 0x00030960, module: libuClibc-0.9.30.so
  [185] inode: 41344, pc: 0x000208a8, module: setup.cgi
  [186] inode: 41344, pc: 0x000208bc, module: setup.cgi
  [187] inode: 41344, pc: 0x0000ea0c, module: setup.cgi
  [188] inode: 41344, pc: 0x00062ff0, module: setup.cgi
  [189] inode: 41344, pc: 0x0006301c, module: setup.cgi
  [190] inode: 49218, pc: 0x0004cd30, module: libuClibc-0.9.30.so
  [191] inode: 41344, pc: 0x00063034, module: setup.cgi
