=== Trace for PID 308 ===
Process: network.cgi

--- Self PID 308 Trace ---
  [002] inode: 16467, pc: 0x00010710, module: boa, symbol: select_loop
  [003] inode: 16467, pc: 0x000106e0, module: boa, symbol: select_loop
  [004] inode: 16467, pc: 0x000106d0, module: boa, symbol: select_loop
  [005] inode: 16467, pc: 0x000106a0, module: boa, symbol: select_loop
  [006] inode: 16467, pc: 0x00010680, module: boa, symbol: select_loop
  [007] inode: 16467, pc: 0x00010660, module: boa, symbol: select_loop
  [008] inode: 16467, pc: 0x0000e148, module: boa, symbol: process_requests
  [009] inode: 16467, pc: 0x0000e140, module: boa, symbol: process_requests
  [010] inode: 16467, pc: 0x0000e4d0, module: boa, symbol: process_requests
  [011] inode: 16467, pc: 0x0000d208, module: boa, symbol: block_request
  [012] inode: 16467, pc: 0x0000d1e0, module: boa, symbol: block_request
  [013] inode: 16467, pc: 0x0000d1b8, module: boa, symbol: block_request
  [014] inode: 16467, pc: 0x0000d240, module: boa, symbol: block_request
  [015] inode: 16467, pc: 0x0000d21c, module: boa, symbol: block_request
  [016] inode: 16467, pc: 0x0000d19c, module: boa, symbol: block_request
  [017] inode: 16467, pc: 0x0000d18c, module: boa, symbol: block_request
  [018] inode: 16467, pc: 0x0000d134, module: boa, symbol: enqueue
  [019] inode: 16467, pc: 0x0000d118, module: boa, symbol: enqueue
  [020] inode: 16467, pc: 0x0000d174, module: boa, symbol: block_request
  [021] inode: 16467, pc: 0x0000d100, module: boa, symbol: dequeue
  [022] inode: 16467, pc: 0x0000d0ec, module: boa, symbol: dequeue
  [023] inode: 16467, pc: 0x0000d0d0, module: boa, symbol: dequeue
  [024] inode: 16467, pc: 0x0000d10c, module: boa, symbol: dequeue
  [025] inode: 16467, pc: 0x0000d0c0, module: boa, symbol: dequeue
  [026] inode: 16467, pc: 0x0000d144, module: boa, symbol: block_request
  [027] inode: 16467, pc: 0x0000e4c0, module: boa, symbol: process_requests
  [028] inode: 16467, pc: 0x0000e4b4, module: boa, symbol: process_requests
  [029] inode: 16467, pc: 0x0000e0f0, module: boa, symbol: process_requests
  [030] inode: 16467, pc: 0x0000e0e8, module: boa, symbol: process_requests
  [031] inode: 16467, pc: 0x0000e0d8, module: boa, symbol: process_requests
  [032] inode: 16467, pc: 0x0000e0c4, module: boa, symbol: process_requests
  [033] inode: 16467, pc: 0x0000e244, module: boa, symbol: process_requests
  [034] inode: 16467, pc: 0x0000ce4c, module: boa, symbol: read_from_pipe
  [035] inode: 16467, pc: 0x0000cf10, module: boa, symbol: read_from_pipe
  [036] inode: 16467, pc: 0x0000cefc, module: boa, symbol: read_from_pipe
  [037] inode: 41012, pc: 0x00015310, module: libuClibc-0.9.30.so, symbol: __errno_location
  [038] inode: 16467, pc: 0x0000ceec, module: boa, symbol: read_from_pipe
  [039] inode: 16467, pc: 0x0000ce70, module: boa, symbol: read_from_pipe
  [040] inode: 41012, pc: 0x0000e424, module: libuClibc-0.9.30.so, symbol: read
  [041] inode: 16467, pc: 0x0000ce60, module: boa, symbol: read_from_pipe
  [042] inode: 16467, pc: 0x0000ce00, module: boa, symbol: read_from_pipe
  [043] inode: 16467, pc: 0x0000e23c, module: boa, symbol: process_requests
  [044] inode: 16467, pc: 0x0000e250, module: boa, symbol: process_requests
  [045] inode: 16467, pc: 0x0000e1d8, module: boa, symbol: process_requests
  [046] inode: 16467, pc: 0x0000e1b4, module: boa, symbol: process_requests
  [047] inode: 16467, pc: 0x0000e06c, module: boa, symbol: process_requests
  [048] inode: 41012, pc: 0x00010414, module: libuClibc-0.9.30.so, symbol: time
  [049] inode: 16467, pc: 0x0000e058, module: boa, symbol: process_requests
  [050] inode: 16467, pc: 0x0000e040, module: boa, symbol: process_requests
  [051] inode: 16467, pc: 0x0000e000, module: boa, symbol: process_requests
  [052] inode: 16467, pc: 0x0000dfe8, module: boa, symbol: process_requests
  [053] inode: 16467, pc: 0x00010650, module: boa, symbol: select_loop
  [054] inode: 16467, pc: 0x00010540, module: boa, symbol: select_loop
  [055] inode: 16467, pc: 0x00010514, module: boa, symbol: select_loop
  [056] inode: 16467, pc: 0x000104fc, module: boa, symbol: select_loop
  [057] inode: 16467, pc: 0x000104e4, module: boa, symbol: select_loop
  [058] inode: 16467, pc: 0x000104cc, module: boa, symbol: select_loop
  [059] inode: 16467, pc: 0x00010794, module: boa, symbol: select_loop
  [060] inode: 41012, pc: 0x00010414, module: libuClibc-0.9.30.so, symbol: time
  [061] inode: 16467, pc: 0x00010780, module: boa, symbol: select_loop
  [062] inode: 16467, pc: 0x00010744, module: boa, symbol: select_loop
  [063] inode: 41012, pc: 0x0000ede0, module: libuClibc-0.9.30.so, symbol: select
  [064] inode: 16467, pc: 0x00010734, module: boa, symbol: select_loop
  [065] inode: 16467, pc: 0x0001085c, module: boa, symbol: select_loop
  [066] inode: 16467, pc: 0x00010700, module: boa, symbol: select_loop
  [067] inode: 16467, pc: 0x000106cc, module: boa, symbol: select_loop
  [068] inode: 16467, pc: 0x000106c4, module: boa, symbol: select_loop
  [069] inode: 16467, pc: 0x00010680, module: boa, symbol: select_loop
  [070] inode: 16467, pc: 0x00010660, module: boa, symbol: select_loop
  [071] inode: 16467, pc: 0x0000e14c, module: boa, symbol: process_requests
  [072] inode: 16467, pc: 0x0000e138, module: boa, symbol: process_requests
  [073] inode: 16467, pc: 0x0000e4a0, module: boa, symbol: process_requests
  [074] inode: 16467, pc: 0x0000e0f8, module: boa, symbol: process_requests
  [075] inode: 16467, pc: 0x0000e0f0, module: boa, symbol: process_requests
  [076] inode: 16467, pc: 0x0000e0e8, module: boa, symbol: process_requests
  [077] inode: 16467, pc: 0x0000e0d8, module: boa, symbol: process_requests
  [078] inode: 16467, pc: 0x0000e0c4, module: boa, symbol: process_requests
  [079] inode: 16467, pc: 0x0000e244, module: boa, symbol: process_requests
  [080] inode: 16467, pc: 0x00009364, module: boa, symbol: init_cgi
  [081] inode: 16467, pc: 0x000094b4, module: boa, symbol: init_cgi
  [082] inode: 16467, pc: 0x00009334, module: boa, symbol: init_cgi
  [083] inode: 41012, pc: 0x0000b5e4, module: libuClibc-0.9.30.so, symbol: close
  [084] inode: 16467, pc: 0x0000931c, module: boa, symbol: init_cgi
  [085] inode: 16467, pc: 0x00008f48, module: boa, symbol: init_cgi
  [086] inode: 16467, pc: 0x00009424, module: boa, symbol: init_cgi
  [087] inode: 41012, pc: 0x0000b5e4, module: libuClibc-0.9.30.so, symbol: close
  [088] inode: 16467, pc: 0x00009410, module: boa, symbol: init_cgi
  [089] inode: 16467, pc: 0x00008f38, module: boa, symbol: init_cgi
  [090] inode: 16467, pc: 0x00008f20, module: boa, symbol: init_cgi
  [091] inode: 16467, pc: 0x00008f18, module: boa, symbol: init_cgi
  [092] inode: 16467, pc: 0x00008f04, module: boa, symbol: init_cgi
  [093] inode: 41012, pc: 0x0000bbf4, module: libuClibc-0.9.30.so, symbol: __libc_fork
  [094] inode: 16467, pc: 0x00008ef4, module: boa, symbol: init_cgi
  [095] inode: 16467, pc: 0x0000913c, module: boa, symbol: init_cgi
  [096] inode: 41012, pc: 0x00010170, module: libuClibc-0.9.30.so, symbol: fcntl
  [097] inode: 16467, pc: 0x00009128, module: boa, symbol: init_cgi
  [098] inode: 16467, pc: 0x0000911c, module: boa, symbol: init_cgi
  [099] inode: 41012, pc: 0x0000b054, module: libuClibc-0.9.30.so, symbol: pipe
  [100] inode: 16467, pc: 0x0000910c, module: boa, symbol: init_cgi
  [101] inode: 16467, pc: 0x00009100, module: boa, symbol: init_cgi
  [102] inode: 41012, pc: 0x00031930, module: libuClibc-0.9.30.so, symbol: strstr
  [103] inode: 16467, pc: 0x000090ec, module: boa, symbol: init_cgi
  [104] inode: 16467, pc: 0x000090e0, module: boa, symbol: init_cgi
  [105] inode: 41012, pc: 0x00031930, module: libuClibc-0.9.30.so, symbol: strstr
  [106] inode: 16467, pc: 0x000090cc, module: boa, symbol: init_cgi
  [107] inode: 16467, pc: 0x000090c0, module: boa, symbol: init_cgi
  [108] inode: 41012, pc: 0x00031930, module: libuClibc-0.9.30.so, symbol: strstr
  [109] inode: 16467, pc: 0x000090a8, module: boa, symbol: init_cgi
  [110] inode: 16467, pc: 0x0000909c, module: boa, symbol: init_cgi
  [111] inode: 16467, pc: 0x000089b4, module: boa, symbol: complete_env
  [112] inode: 16467, pc: 0x00008c4c, module: boa, symbol: complete_env
  [113] inode: 16467, pc: 0x00008c38, module: boa, symbol: complete_env
  [114] inode: 16467, pc: 0x00008d48, module: boa, symbol: complete_env
  [115] inode: 16467, pc: 0x00008d3c, module: boa, symbol: complete_env
  [116] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [117] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [118] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [119] inode: 16467, pc: 0x00008498, module: boa
  [120] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [121] inode: 16467, pc: 0x0000846c, module: boa
  [122] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [123] inode: 16467, pc: 0x00008464, module: boa
  [124] inode: 16467, pc: 0x0000843c, module: boa
  [125] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [126] inode: 16467, pc: 0x00008420, module: boa
  [127] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [128] inode: 16467, pc: 0x00008408, module: boa
  [129] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [130] inode: 16467, pc: 0x00008400, module: boa
  [131] inode: 16467, pc: 0x000083b8, module: boa
  [132] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [133] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [134] inode: 16467, pc: 0x00008d28, module: boa, symbol: complete_env
  [135] inode: 16467, pc: 0x00008d18, module: boa, symbol: complete_env
  [136] inode: 16467, pc: 0x00008d0c, module: boa, symbol: complete_env
  [137] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [138] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [139] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [140] inode: 16467, pc: 0x00008498, module: boa
  [141] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [142] inode: 16467, pc: 0x0000846c, module: boa
  [143] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [144] inode: 16467, pc: 0x00008464, module: boa
  [145] inode: 16467, pc: 0x0000843c, module: boa
  [146] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [147] inode: 16467, pc: 0x00008420, module: boa
  [148] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [149] inode: 16467, pc: 0x00008408, module: boa
  [150] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [151] inode: 16467, pc: 0x00008400, module: boa
  [152] inode: 16467, pc: 0x000083b8, module: boa
  [153] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [154] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [155] inode: 16467, pc: 0x00008cf8, module: boa, symbol: complete_env
  [156] inode: 16467, pc: 0x00008cdc, module: boa, symbol: complete_env
  [157] inode: 16467, pc: 0x00008c28, module: boa, symbol: complete_env
  [158] inode: 16467, pc: 0x00008c1c, module: boa, symbol: complete_env
  [159] inode: 16467, pc: 0x00008850, module: boa, symbol: add_cgi_env
  [160] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [161] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [162] inode: 16467, pc: 0x00008498, module: boa
  [163] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [164] inode: 16467, pc: 0x0000846c, module: boa
  [165] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [166] inode: 16467, pc: 0x00008464, module: boa
  [167] inode: 16467, pc: 0x0000850c, module: boa
  [168] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [169] inode: 16467, pc: 0x000084f0, module: boa
  [170] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [171] inode: 16467, pc: 0x000084d8, module: boa
  [172] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [173] inode: 16467, pc: 0x000084cc, module: boa
  [174] inode: 16467, pc: 0x000083b8, module: boa
  [175] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [176] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [177] inode: 16467, pc: 0x00008c0c, module: boa, symbol: complete_env
  [178] inode: 41012, pc: 0x000501a0, module: libuClibc-0.9.30.so, symbol: getenv
  [179] inode: 16467, pc: 0x00008bec, module: boa, symbol: complete_env
  [180] inode: 16467, pc: 0x00008be0, module: boa, symbol: complete_env
  [181] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [182] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [183] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [184] inode: 16467, pc: 0x00008498, module: boa
  [185] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [186] inode: 16467, pc: 0x0000846c, module: boa
  [187] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [188] inode: 16467, pc: 0x00008464, module: boa
  [189] inode: 16467, pc: 0x0000843c, module: boa
  [190] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [191] inode: 16467, pc: 0x00008420, module: boa
  [192] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [193] inode: 16467, pc: 0x00008408, module: boa
  [194] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [195] inode: 16467, pc: 0x00008400, module: boa
  [196] inode: 16467, pc: 0x000083b8, module: boa
  [197] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [198] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [199] inode: 16467, pc: 0x00008bc0, module: boa, symbol: complete_env
  [200] inode: 16467, pc: 0x00008bb4, module: boa, symbol: complete_env
  [201] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [202] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [203] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [204] inode: 16467, pc: 0x00008498, module: boa
  [205] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [206] inode: 16467, pc: 0x0000846c, module: boa
  [207] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [208] inode: 16467, pc: 0x00008464, module: boa
  [209] inode: 16467, pc: 0x0000843c, module: boa
  [210] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [211] inode: 16467, pc: 0x00008420, module: boa
  [212] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [213] inode: 16467, pc: 0x00008408, module: boa
  [214] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [215] inode: 16467, pc: 0x00008400, module: boa
  [216] inode: 16467, pc: 0x000083b8, module: boa
  [217] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [218] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [219] inode: 16467, pc: 0x00008b98, module: boa, symbol: complete_env
  [220] inode: 16467, pc: 0x00008b8c, module: boa, symbol: complete_env
  [221] inode: 16467, pc: 0x00008838, module: boa, symbol: add_cgi_env
  [222] inode: 16467, pc: 0x00008800, module: boa, symbol: add_cgi_env
  [223] inode: 16467, pc: 0x000087ec, module: boa, symbol: add_cgi_env
  [224] inode: 16467, pc: 0x00008498, module: boa
  [225] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [226] inode: 16467, pc: 0x0000846c, module: boa
  [227] inode: 41012, pc: 0x00030440, module: libuClibc-0.9.30.so, symbol: memcpy
  [228] inode: 16467, pc: 0x00008464, module: boa
  [229] inode: 16467, pc: 0x0000843c, module: boa
  [230] inode: 41012, pc: 0x0004e2d4, module: libuClibc-0.9.30.so, symbol: malloc
  [231] inode: 16467, pc: 0x00008420, module: boa
  [232] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [233] inode: 16467, pc: 0x00008408, module: boa
  [234] inode: 41012, pc: 0x00031350, module: libuClibc-0.9.30.so, symbol: strlen
  [235] inode: 16467, pc: 0x00008400, module: boa
  [236] inode: 16467, pc: 0x000083b8, module: boa
  [237] inode: 16467, pc: 0x000087d8, module: boa, symbol: add_cgi_env
  [238] inode: 16467, pc: 0x00008788, module: boa, symbol: add_cgi_env
  [239] inode: 16467, pc: 0x00008b70, module: boa, symbol: complete_env
