=== Trace for PID 2232 ===
Process: mini_httpd

--- Self PID 2232 Trace ---
  [096] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [097] inode: 41301, pc: 0x00002074, module: mini_httpd
  [098] inode: 41301, pc: 0x00002018, module: mini_httpd
  [099] inode: 41301, pc: 0x00002000, module: mini_httpd
  [100] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [101] inode: 41301, pc: 0x00002074, module: mini_httpd
  [102] inode: 41301, pc: 0x00002018, module: mini_httpd
  [103] inode: 41301, pc: 0x00002000, module: mini_httpd
  [104] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [105] inode: 41301, pc: 0x00002074, module: mini_httpd
  [106] inode: 41301, pc: 0x00002018, module: mini_httpd
  [107] inode: 41301, pc: 0x00002000, module: mini_httpd
  [108] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [109] inode: 41301, pc: 0x00002074, module: mini_httpd
  [110] inode: 41301, pc: 0x00002018, module: mini_httpd
  [111] inode: 41301, pc: 0x00002000, module: mini_httpd
  [112] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [113] inode: 41301, pc: 0x00002074, module: mini_httpd
  [114] inode: 41301, pc: 0x00002018, module: mini_httpd
  [115] inode: 41301, pc: 0x00002000, module: mini_httpd
  [116] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [117] inode: 41301, pc: 0x00002074, module: mini_httpd
  [118] inode: 41301, pc: 0x00002018, module: mini_httpd
  [119] inode: 41301, pc: 0x00002000, module: mini_httpd
  [120] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [121] inode: 41301, pc: 0x00002074, module: mini_httpd
  [122] inode: 41301, pc: 0x00002018, module: mini_httpd
  [123] inode: 41301, pc: 0x00002000, module: mini_httpd
  [124] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [125] inode: 41301, pc: 0x00002074, module: mini_httpd
  [126] inode: 41301, pc: 0x00002018, module: mini_httpd
  [127] inode: 41301, pc: 0x00002000, module: mini_httpd
  [128] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [129] inode: 41301, pc: 0x00002074, module: mini_httpd
  [130] inode: 41301, pc: 0x00002018, module: mini_httpd
  [131] inode: 41301, pc: 0x00002000, module: mini_httpd
  [132] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [133] inode: 41301, pc: 0x00002074, module: mini_httpd
  [134] inode: 41301, pc: 0x00002018, module: mini_httpd
  [135] inode: 41301, pc: 0x00002000, module: mini_httpd
  [136] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [137] inode: 41301, pc: 0x00002074, module: mini_httpd
  [138] inode: 41301, pc: 0x00002018, module: mini_httpd
  [139] inode: 41301, pc: 0x00002000, module: mini_httpd
  [140] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [141] inode: 41301, pc: 0x00002074, module: mini_httpd
  [142] inode: 41301, pc: 0x00002018, module: mini_httpd
  [143] inode: 41301, pc: 0x00002000, module: mini_httpd
  [144] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [145] inode: 41301, pc: 0x00002074, module: mini_httpd
  [146] inode: 41301, pc: 0x00002018, module: mini_httpd
  [147] inode: 41301, pc: 0x00002000, module: mini_httpd
  [148] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [149] inode: 41301, pc: 0x00002074, module: mini_httpd
  [150] inode: 41301, pc: 0x00002018, module: mini_httpd
  [151] inode: 41301, pc: 0x00002000, module: mini_httpd
  [152] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [153] inode: 41301, pc: 0x00002074, module: mini_httpd
  [154] inode: 41301, pc: 0x00002018, module: mini_httpd
  [155] inode: 41301, pc: 0x00002000, module: mini_httpd
  [156] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [157] inode: 41301, pc: 0x00002074, module: mini_httpd
  [158] inode: 41301, pc: 0x00002018, module: mini_httpd
  [159] inode: 41301, pc: 0x00002000, module: mini_httpd
  [160] inode: 41301, pc: 0x00001ffc, module: mini_httpd
  [161] inode: 41301, pc: 0x00002074, module: mini_httpd
  [162] inode: 41301, pc: 0x00002018, module: mini_httpd
  [163] inode: 41301, pc: 0x00002000, module: mini_httpd
  [164] inode: 41301, pc: 0x00001ffc, module: mini_httpd
