=== Trace for PID 2704 ===
Process: mini_httpd

--- Self PID 2704 Trace ---
  [099] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [100] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [101] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [102] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [103] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [104] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [105] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [106] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [107] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [108] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [109] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [110] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [111] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [112] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [113] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [114] inode: 57671, pc: 0x0000d7a8, module: mini_httpd
  [115] inode: 57671, pc: 0x0000d77c, module: mini_httpd
  [116] inode: 57671, pc: 0x00011618, module: mini_httpd
  [117] inode: 57671, pc: 0x000115bc, module: mini_httpd
  [118] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [119] inode: 57671, pc: 0x000115a8, module: mini_httpd
  [120] inode: 57671, pc: 0x0001156c, module: mini_httpd
  [121] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [122] inode: 57671, pc: 0x00011558, module: mini_httpd
  [123] inode: 57671, pc: 0x0001151c, module: mini_httpd
  [124] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [125] inode: 57671, pc: 0x00011508, module: mini_httpd
  [126] inode: 57671, pc: 0x000114b8, module: mini_httpd
  [127] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [128] inode: 57671, pc: 0x000114a4, module: mini_httpd
  [129] inode: 57671, pc: 0x00011468, module: mini_httpd
  [130] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [131] inode: 57671, pc: 0x00011454, module: mini_httpd
  [132] inode: 57671, pc: 0x00011418, module: mini_httpd
  [133] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [134] inode: 57671, pc: 0x00011404, module: mini_httpd
  [135] inode: 57671, pc: 0x000113c8, module: mini_httpd
  [136] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [137] inode: 57671, pc: 0x000113b4, module: mini_httpd
  [138] inode: 57671, pc: 0x00011364, module: mini_httpd
  [139] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [140] inode: 57671, pc: 0x00011350, module: mini_httpd
  [141] inode: 57671, pc: 0x00011314, module: mini_httpd
  [142] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [143] inode: 57671, pc: 0x00011300, module: mini_httpd
  [144] inode: 57671, pc: 0x000112f0, module: mini_httpd
  [145] inode: 57671, pc: 0x00011620, module: mini_httpd
  [146] inode: 57671, pc: 0x0000d82c, module: mini_httpd
  [147] inode: 57671, pc: 0x0000d810, module: mini_httpd
  [148] inode: 57671, pc: 0x0000d7fc, module: mini_httpd
  [149] inode: 57671, pc: 0x0000d7e0, module: mini_httpd
  [150] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [151] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [152] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [153] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [154] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [155] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [156] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [157] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [158] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [159] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [160] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [161] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [162] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [163] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [164] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
